ID;Nombre Común;Nombre Científico;Descripción;Estado de Conservación;Código IUCN;Categoría IUCN;Categoría CITES;Categoría Nacional;Reino;Clase;Orden;Familia;Hábitat;Latitud;Longitud;Lugar Específico;Región;Provincia;Distrito;Ubicación Completa;Imagen Principal;Imagen 2;Imagen 3;Imagen 4;Publicaciones Relacionadas;Fecha de Creación;Fecha de Actualización
17;Lagartija;Liolaemus tacnae;Liolaemus signifer, la iguana del árbol zodiacal, es una especie de lagarto de la familia Liolaemidae. Es originaria de Chile, Bolivia y Perú.;Casi Amenazado;NT;N/A;N/A;N/A;Animalia;Reptiles;squamata;Liolaemidae;Ecosistemas de lomas y desierto costero de Tacna;N/A;N/A;N/A;N/A;N/A;N/A;Ubicación no especificada;images/migrated_from_biodiversidad_imagens/species_17_1_FOiZ3Q4iwdYOo0Lld3SC5m07IJ1bzTKY6RNN8HyP.jpg;images/migrated_from_biodiversidad_imagens/species_17_2_wTejcM2RQlifOfVRkCFJNMhZakPbUfMXEqxS3hoE.jpg;N/A;N/A;CONSERVACIÓN, DISTRIBUCIÓN Y DENSIDAD POBLACIONAL DE Platalina genovensium (THOMAS, 1928) EN LAS LOMAS DEL MORRO SAMA, DISTRITO DE SAMA, PROVINCIA DE TACNA.;18/10/2024 18:54;16/09/2025 21:02
18;Lagartija;Liolaemus signifer;Liolaemus signifer, la iguana del árbol zodiacal, es una especie de lagarto de la familia Liolaemidae. Es originaria de Chile, Bolivia y Perú.;En Peligro;EN;NT;1;2014;Animalia;Reptiles;squamata;Liolaemidae;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ubicación no especificada;images/migrated_from_biodiversidad_imagens/species_18_1_9HsgnSYEzlVghQhYl3XFi8nOPjqfN0QGhuJsv9Hn.jpg;images/migrated_from_biodiversidad_imagens/species_18_2_9eI4ApRVVyFAcjBNto7GfDrv8T9zD5w3CFVUQlef.jpg;N/A;N/A;N/A;18/10/2024 19:05;9/09/2025 16:15
19;Lagartija;Liolaemus basadrei;Liolaemus basadrei es una especie de lagarto de la familia Liolaemidae. Es originario de Perú.;En Peligro;EN;N/A;N/A;N/A;Animalia;Reptiles;squamata;Liolaemidae;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ubicación no especificada;images/migrated_from_biodiversidad_imagens/species_19_1_rIHs88HGD34GZoYV491tWyiBIOoGxicBZIrOeIyH.jpg;images/migrated_from_biodiversidad_imagens/species_19_2_lRvrzYYRTRrVb5lKjqZl503JORqMOszEWlxDxhNd.webp;N/A;N/A;N/A;18/10/2024 19:32;9/09/2025 16:15
20;Lagartija;Liolaemus poconchilensis;N/A;Extinto en Estado Silvestre;EW;N/A;N/A;N/A;Animalia;Reptiles;squamata;Liolaemidae;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ubicación no especificada;images/migrated_from_biodiversidad_imagens/species_20_1_YENi9B5qEkF2drfrlRys7ChWobMKIGRBGis3IwFL.png;images/migrated_from_biodiversidad_imagens/species_20_2_rDhzG46mzhDcucqsWsjjnXKOCYlJug8gU0O7Ab0B.jpg;N/A;N/A;Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire”;18/10/2024 19:40;9/09/2025 16:15
21;Lagartija;Liolaemus chungara;;Vulnerable;VU;N/A;N/A;N/A;Animalia;Reptiles;squamata;Liolaemidae;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ubicación no especificada;images/migrated_from_biodiversidad_imagens/species_21_1_UKC6L2kUEXLRsAvszSDrxWHLc2jUqq7cdEi69Wj1.jpg;images/migrated_from_biodiversidad_imagens/species_21_2_CRWViG0l8f8y3nGYM3Qic73KQr5JZD5X6xcG9Pl1.jpg;N/A;N/A;N/A;18/10/2024 19:49;9/09/2025 16:15
22;Lagartija;Liolaemus pleopholis;Liolaemus pleopholis es una especie de lagarto de la familia Iguanidae. Es de Chile.;Vulnerable;VU;N/A;N/A;N/A;Animalia;Reptiles;squamata;Liolaemidae;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ubicación no especificada;images/migrated_from_biodiversidad_imagens/species_22_1_qeqlYGsVnhDNYgpLKBJuyUl6HceBW0ukmMUD2vGS.png;images/migrated_from_biodiversidad_imagens/species_22_2_Q1kVeTiqHzrrpVD7ySCX7nbd5CjjVEVAy2YkTtzT.png;N/A;N/A;N/A;21/10/2024 12:42;9/09/2025 16:15
23;Lagartija;Liolaemus sp.;Liolaemus sp. Familia: Liolaemidae Orden: Squamata Clase: Reptilia Filo / División: Chordata Reino: Animalia;Casi Amenazado;NT;N/A;N/A;N/A;Animalia;Reptiles;squamata;Liolaemidae;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ubicación no especificada;images/migrated_from_biodiversidad_imagens/species_23_1_KBlsfW3aAxDVdSmk6IEwnm5xMIuxxY1Tv2bU9a3W.png;images/migrated_from_biodiversidad_imagens/species_23_2_kpv3M9lCQkPdLZec7NvQCC0007g1TvfYo20Ha5Bl.png;N/A;N/A;N/A;21/10/2024 12:57;9/09/2025 16:15
24;Lagartija;Microlophus peruvianus;La lagartija peruana, lagartija de las playas o qalaywa es una especie de lagartija en la familia tropiduridae, propia de la costa desértica del Perú, Ecuador y norte de Chile.;Vulnerable;VU;N/A;N/A;N/A;Animalia;Reptiles;squamata;Tropiduridae;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ubicación no especificada;images/migrated_from_biodiversidad_imagens/species_24_1_IWihCNmhzhqdz69uIRf9IkMPhkpQ64HPV3b0HsE3.jpg;images/migrated_from_biodiversidad_imagens/species_24_2_XQcsB0AvKOuQUzdpAgPXGmyngZdpVRzhJYzHswxa.jpg;N/A;N/A;N/A;21/10/2024 13:04;9/09/2025 16:15
25;Lagartija;Microlophus tigris;Microlophus tigris, la iguana tigre del Pacífico, es una especie de lagarto de lava endémica de Perú;En Peligro;EN;N/A;N/A;N/A;Animalia;Reptiles;squamata;Tropiduridae;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ubicación no especificada;images/migrated_from_biodiversidad_imagens/species_25_1_poqdFXMI0gew86rQscYnfsPObvJZ7z4zIcHC6U6b.jpg;images/migrated_from_biodiversidad_imagens/species_25_2_cGlA7axrMg9CDB0j5lkAUkwStKqeE16dIg2WgJEH.jpg;N/A;N/A;N/A;21/10/2024 13:18;9/09/2025 16:15
26;Lagartija;Microlophus yanezi;N/A;Vulnerable;VU;N/A;N/A;N/A;Animalia;Reptiles;squamata;Tropiduridae;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ubicación no especificada;images/migrated_from_biodiversidad_imagens/species_26_1_lXYTp5yZEtjpsEHfYFXUu8xUcI5RYU5kUCDxmpTh.jpg;images/migrated_from_biodiversidad_imagens/species_26_2_cHRCiHWLVvdqARFrpykN5P3zYyjv1mxq2kFYlUJn.jpg;images/migrated_from_biodiversidad_imagens/species_26_3_MUJBqxHjlWGfqtEwoGJO7MHhGunehOYNBudahAP6.png;N/A;N/A;21/10/2024 13:39;9/09/2025 16:15
