"gbif_id";"iucn_id";"cites_id";"nombre_cientifico";"nombre_cientifico2";"reino";"filo";"clase";"orden";"familia";"genero";"TIPO";"NOMBRE.EN.ESPAÑOL";"NACIONAL";"STATUS";"iucn_status";"cites_status"
5216910;88992858;NA;"Rhinella spinulosa";"Rhinella spinulosa (Wiegmann, 1834)";"Animalia";"Chordata";"Amphibia";"Anura";"Bufonidae";"Rhinella";"Anfibios";"Sapo";NA;NA;"LC";NA
2423464;57289;NA;"Pleurodema marmoratum";"Pleurodema marmoratum (Duméril & Bibron, 1840)";"Animalia";"Chordata";"Amphibia";"Anura";"Leptodactylidae";"Pleurodema";"Anfibios";"Rana";"VU";NA;"VU";NA
2424472;21584;NA;"Telmatobius peruvianus";"Telmatobius peruvianus Wiegmann, 1834";"Animalia";"Chordata";"Amphibia";"Anura";"Telmatobiidae";"Telmatobius";"Anfibios";"Rana acuática Perú";"VU";NA;"VU";NA
5224413;48617848;NA;"Tachymenis peruviana";"Tachymenis peruviana Wiegmann, 1834";"Animalia";"Chordata";"Squamata";NA;"Colubridae";"Tachymenis";"Reptiles";"Serpiente delgada del Perú";NA;NA;"LC";NA
8263722;176332;NA;"Pseudalsophis elegans";"Pseudalsophis elegans (Tschudi, 1845)";"Animalia";"Chordata";"Squamata";NA;"Colubridae";"Pseudalsophis";"Reptiles";"Serpiente corredor dorso rojizo";NA;NA;"LC";NA
5959823;48442746;NA;"Phyllodactylus gerrhopygus";"Phyllodactylus gerrhopygus (Wiegmann, 1834)";"Animalia";"Chordata";"Squamata";NA;"Phyllodactylidae";"Phyllodactylus";"Reptiles";"Salamanqueja";NA;NA;"LC";NA
11453886;NA;NA;"Liolaemus basadrei";"Liolaemus basadrei Valladares-Faúndez, León, Chipana, Navarro Guzmán, Ignacio-Apaza, Musaja, Langstroth, Aguilar-Kirigin, Gutierrez & Abdala, 2021";"Animalia";"Chordata";"Squamata";NA;"Liolaemidae";"Liolaemus";"Reptiles";"Lagartija";NA;"Endémica";NA;NA
9500523;70493174;NA;"Liolaemus chungara";"Liolaemus chungara Quinteros, Valladares, Semham, Acosta, Barrionuevo & Abdala, 2014";"Animalia";"Chordata";"Squamata";NA;"Liolaemidae";"Liolaemus";"Reptiles";"Lagartija";NA;NA;"LC";NA
2460330;178366;NA;"Liolaemus pleopholis";"Liolaemus pleopholis Laurent, 1998";"Animalia";"Chordata";"Squamata";NA;"Liolaemidae";"Liolaemus";"Reptiles";"Lagartija";NA;NA;"LC";NA
2460535;178395;NA;"Liolaemus signifer";"Liolaemus signifer (Dumèril & Bibron, 1837)";"Animalia";"Chordata";"Squamata";NA;"Liolaemidae";"Liolaemus";"Reptiles";"Lagartija ";NA;NA;"NT";NA
2460665;NA;NA;"Liolaemus cf.";"Liolaemus Wiegmann, 1834";"Animalia";"Chordata";"Squamata";NA;"Liolaemidae";"Liolaemus";"Reptiles";"Lagartija ";NA;NA;NA;NA
2460479;48442700;NA;"Liolaemus tacnae";"Liolaemus tacnae (Shreve, 1941)";"Animalia";"Chordata";"Squamata";NA;"Liolaemidae";"Liolaemus";"Reptiles";"Lagartija ";"VU";NA;"NT";NA
9288491;NA;NA;"Liolaemus tacora";"Liolaemus tacora Demangel, 2016";"Animalia";"Chordata";"Squamata";NA;"Liolaemidae";"Liolaemus";"Reptiles";"Lagartija ";NA;NA;NA;NA
5224978;48445063;NA;"Microlophus quadrivittatus";"Microlophus quadrivittatus (Tschudi, 1845)";"Animalia";"Chordata";"Squamata";NA;"Tropiduridae";"Microlophus";"Reptiles";"Lagarto Negro";"VU";"Endémica";"LC";NA
5224936;178311;NA;"Microlophus peruvianus";"Microlophus peruvianus (Lesson, 1830)";"Animalia";"Chordata";"Squamata";NA;"Tropiduridae";"Microlophus";"Reptiles";"Lagartija";NA;NA;"LC";NA
5224949;48444342;NA;"Microlophus tigris";"Microlophus tigris (Tschudi, 1845)";"Animalia";"Chordata";"Squamata";NA;"Tropiduridae";"Microlophus";"Reptiles";"Lagartija";"NT";NA;"LC";NA
8894817;3897;10836;"Caretta caretta";"Caretta caretta (Linnaeus, 1758)";"Animalia";"Chordata";"Testudines";NA;"Cheloniidae";"Caretta";"Reptiles";"Tortuga boba, cayuma";"EN";NA;"VU";"I"
2442225;4615;11071;"Chelonia mydas";"Chelonia mydas (Linnaeus, 1758)";"Animalia";"Chordata";"Testudines";NA;"Cheloniidae";"Chelonia";"Reptiles";"Tortuga verde, tortuga blanca";"EN";NA;"EN";"I"
