"ESPECIES";"INSTITUCIÓN";"AÑO";"AUTOR";"TÍTULO"
"Rhinella spinulosa";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2012;"GOBIERNO REGIONAL TACNA. ";"EXPEDIENTE TÉCNICO PROPUESTA DE ZONA RESERVADA LOMAS DE TACAHUAY."
"Rhinella spinulosa";"Gobierno Regional de Tacna. GRRNyGA. SGGA. Proyecto de Inversión "Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna"- CUI N° 2617548";2024;"Ling Doris Huamani Valderrama";"Estudio especializado en inventario de anfibios y reptiles de los sitios prioritarios para la conservación (SPC) Candarave, SPC Huaytire, SPC Altoperú"
"Pleurodema marmoratum";"Gobierno Regional de Tacna. GRRNyGA. SGGA. Proyecto de Inversión "Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna"- CUI N° 2617548";2024;"Ling Doris Huamani Valderrama";"Estudio especializado en inventario de anfibios y reptiles de los sitios prioritarios para la conservación (SPC) Candarave, SPC Huaytire, SPC Altoperú"
"Telmatobius peruvianus";"Gobierno Regional de Tacna. GRRNyGA. SGGA. Proyecto de Inversión "Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna"- CUI N° 2617548";2024;"Ling Doris Huamani Valderrama";"Estudio especializado en inventario de anfibios y reptiles de los sitios prioritarios para la conservación (SPC) Candarave, SPC Huaytire, SPC Altoperú"
"Tachymenis peruviana";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2013;"Horacio Zeballos Patrón. ";"ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO"
"Tachymenis peruviana";"Gobierno Regional de Tacna. GRRNyGA. SGGA. Proyecto de Inversión "Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna"- CUI N° 2617548";2024;"Ling Doris Huamani Valderrama";"Estudio especializado en inventario de anfibios y reptiles de los sitios prioritarios para la conservación (SPC) Candarave, SPC Huaytire, SPC Altoperú"
"Pseudalsophis elegans";"Gobierno Regional de Tacna. GRRNyGA. SGGA. Proyecto de Inversión "Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna"- CUI N° 2617548";2024;"Ling Doris Huamani Valderrama";"Estudio especializado en inventario de anfibios y reptiles de los sitios prioritarios para la conservación (SPC) Candarave, SPC Huaytire, SPC Altoperú"
"Phyllodactylus gerrhopygus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2013;"Pablo Juan Franco León";"ESTUDIO DE Carica candicans EN MORRO SAMA Y LOMAS DE TACAHUAY"
"Phyllodactylus gerrhopygus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2009;"Hipólita Paniagua, Javier Ignacio y Lisseth Silva. ";"EVALUACIÓN DE Carica candicans y Weberbaurella brongniartioides DEL ECOSISTEMA LOMAS DEL DESIERTO COSTERO DE LA REGIÓN TACNA"
"Phyllodactylus gerrhopygus";"Gobierno Regional de Tacna. GRRNyGA. SGGA. Proyecto de Inversión "Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna"- CUI N° 2617548";2024;"Ling Doris Huamani Valderrama";"Estudio especializado en inventario de anfibios y reptiles de los sitios prioritarios para la conservación (SPC) Candarave, SPC Huaytire, SPC Altoperú"
