SCIENTIFIC NAME,SPANISH NAME
LIST OF,THE BIRDS OF PERU
LISTA DE,LAS AVES DEL PERÚ
By/por Manuel,Plenge (resigned/renunció)
Continued/continuado por,"Fernando AnguloVersion 23 de junio de 2025For the meaning of abbreviations and colors, go to the last pag e"
Para entender,"las abreviaciones y colores, vaya a la última pág ina"
Rhea pennata,Lesser Rhea Ñandú Petizo
Nothocercus julius,Tawny-breasted Tinamou Perdiz de Pecho Leonado
Nothocercus bonapartei,Highland Tinamou Perdiz Montesa
Nothocercus nigrocapillus,Hooded Tinamou Perdiz de Cabeza Negra
Tinamus tao,Gray Tinamou Perdiz Gris
Tinamus osgoodi,Black Tinamou Perdiz Negra
Tinamus major,Great Tinamou Perdiz Grande
Tinamus guttatus,White-throated Tinamou Perdiz de Garganta Blanca
Crypturellus cinereus,Cinereous Tinamou Perdiz Cinérea
Crypturellus soui,Little Tinamou Perdiz Chica
Crypturellus obsoletus,Brown Tinamou Perdiz Parda
Crypturellus undulatus,Undulated Tinamou Perdiz Ondulada
Crypturellus transfasciatus,Pale-browed Tinamou Perdiz de Ceja Pálida
Crypturellus strigulosus,Brazilian Tinamou Perdiz Brasileña
Crypturellus duidae,Gray-legged Tinamou Perdiz de Pata Gris
Crypturellus atrocapillus,Black-capped Tinamou Perdiz de Gorro Negro
Crypturellus variegatus,Variegated Tinamou Perdiz Abigarrada
Crypturellus bartletti,Bartlett’s Tinamou Perdiz de Bartlett
Crypturellus parvirostris,Small-billed Tinamou Perdiz de Pico Corto
Crypturellus casiquiare,Barred Tinamou Perdiz Barrada
Crypturellus tataupa,Tataupa Tinamou Perdiz Tataupá
Rhynchotus rufescens,Red-winged Tinamou Perdiz de Ala Roja
Nothoprocta taczanowskii,Taczanowski’s Tinamou Perdiz de Taczanowski
Nothoprocta ornata,Ornate Tinamou Perdiz Cordillerana
Nothoprocta pentlandii,Andean Tinamou Perdiz Andina
Nothoprocta curvirostris,Curve-billed Tinamou Perdiz de Pico Curvo
Nothura darwinii,Darwin’s Nothura Perdiz de Darwin
Tinamotis pentlandii,Puna Tinamou Perdiz de la Puna
Anhima cornuta,Horned Screamer Gritador Unicornio
Chauna torquata,Southern Screamer Gritador Chajá
Dendrocygna bicolor,Fulvous Whistling-Duck Pato-Silbón Canelo
Dendrocygna viduata,White-faced Whistling-Duck Pato-Silbón de Cara Blanca
Dendrocygna autumnalis,Black-bellied Whistling-Duck Pato-Silbón de Vientre Negro
Oressochen jubatus,Orinoco Goose Ganso del Orinoco
Oressochen melanopterus,Andean Goose Cauquén Huallata
Cairina moschata,Muscovy Duck Pato Criollo
Sarkidiornis sylvicola,Comb-Duck Pato Crestudo
Amazonetta brasiliensis,Brazilian Teal Pato Brasileño
Merganetta armata,Torrent Duck Pato de los Torrentes
Lophonetta specularioides,Crested Duck Pato Crestón
Spatula puna,Puna Teal Pato de la Puna
Spatula platalea,"Red Shoveler Pato Cuchara RojizoFamily ANATIDAE: Ducks, Geese, and Swans / Patos, Gansos, y Cis nesOrder RHEIFORMES"
Spatula clypeata,Northern Shoveler Pato Cuchara Norteño
Spatula discors,Blue-winged Teal Pato de Ala Azul
Spatula cyanoptera,Cinnamon Teal Pato Colorado
Mareca sibilatrix,Chiloe Wigeon Pato Overo
Anas bahamensis,White-cheeked Pintail Pato Gargantillo
Anas georgica,Yellow-billed Pintail Pato Jergón
Anas andium,Andean Teal Pato Paramuno
Anas flavirostris,Yellow-billed Teal Pato Barcino
Netta erythrophthalma,Southern Pochard Pato Morado
Netta peposaca,Rosy-billed Pochard Pato Picazo
Nomonyx dominicus,Masked Duck Pato Enmascarado
Oxyura jamaicensis,Ruddy Duck Pato Rana
Chamaepetes goudotii,Sickle-winged Guan Pava Ala de Hoz
Penelope barbata,Bearded Guan Pava Barbada
Penelope montagnii,Andean Guan Pava Andina
Penelope jacquacu,Spix’s Guan Pava de Spix
Penelope purpurascens,Crested Guan Pava Crestada
Penelope albipennis,White-winged Guan Pava de Ala Blanca
Pipile cumanensis,Blue-throated Piping-Guan Pava de Garganta Azul
Aburria aburri,Wattled Guan Pava Carunculada
Ortalis erythroptera,Rufous-headed Chachalaca Chachalaca de Cabeza Rufa
Ortalis guttata,Speckled Chachalaca Chachalaca Jaspeada
Nothocrax urumutum,Nocturnal Curassow Paujil Nocturno
Crax globulosa,Wattled Curassow Paujil Carunculado
Mitu salvini,Salvin’s Curassow Paujil de Salvin
Mitu tuberosum,Razor-billed Curassow Paujil Común
Pauxi koepckeae,Sira Curassow Paujil del Sira
Odontophorus gujanensis,Marbled Wood-Quail Codorniz de Cara Roja
Odontophorus speciosus,Rufous-breasted Wood-Quail Codorniz de Pecho Rufo
Odontophorus balliviani,Stripe-faced Wood-Quail Codorniz Enmascarada
Odontophorus stellatus,Starred Wood-Quail Codorniz Estrellada
