nombre;nombre_comun;nombre_cientifico;descripcion;habitat;reino;filo;subfilo;clase;orden;familia;genero;estado_conservacion;Código IUCN;Categoría CITES;Categoría GBIF;cat_nacional;latitud;longitud;nombre_lugar;region;provincia;distrito;institucion_estudio;categoria
Sapo;Sapo;Rhinella spinulosa;Rhinella spinulosa (Wiegmann, 1834);;Animalia;Chordata;;Amphibia;Anura;Bufonidae;Rhinella;NA;LC;NA;NA;NA;;;;;;;;
Rana;Rana;Pleurodema marmoratum;Pleurodema marmoratum (Duméril & Bibron, 1840);;Animalia;Chordata;;Amphibia;Anura;Leptodactylidae;Pleurodema;NA;VU;NA;NA;VU;;;;;;;;
Rana acuática Perú;Rana acuática Perú;Telmatobius peruvianus;Telmatobius peruvianus Wiegmann, 1834;;Animalia;Chordata;;Amphibia;Anura;Telmatobiidae;Telmatobius;NA;VU;NA;NA;VU;;;;;;;;
Serpiente delgada del Perú;Serpiente delgada del Perú;Tachymenis peruviana;Tachymenis peruviana Wiegmann, 1834;;Animalia;Chordata;;Reptilia;Squamata;Colubridae;Tachymenis;NA;LC;NA;NA;NA;;;;;;;;
Serpiente corredor dorso rojizo;Serpiente corredor dorso rojizo;Pseudalsophis elegans;Pseudalsophis elegans (Tschudi, 1845);;Animalia;Chordata;;Reptilia;Squamata;Colubridae;Pseudalsophis;NA;LC;NA;NA;NA;;;;;;;;
Salamanqueja;Salamanqueja;Phyllodactylus gerrhopygus;Phyllodactylus gerrhopygus (Wiegmann, 1834);;Animalia;Chordata;;Reptilia;Squamata;Phyllodactylidae;Phyllodactylus;NA;LC;NA;NA;NA;;;;;;;;
Lagartija;Lagartija;Liolaemus basadrei;Liolaemus basadrei Valladares-Faúndez, León, Chipana, Navarro Guzmán, Ignacio-Apaza, Musaja, Langstroth, Aguilar-Kirigin, Gutierrez & Abdala, 2021;;Animalia;Chordata;;Reptilia;Squamata;Liolaemidae;Liolaemus;VU;NA;NA;Endémica;NA;;;;;;;;
Lagartija;Lagartija;Liolaemus chungara;Liolaemus chungara Quinteros, Valladares, Semham, Acosta, Barrionuevo & Abdala, 2014;;Animalia;Chordata;;Reptilia;Squamata;Liolaemidae;Liolaemus;NA;LC;NA;NA;NA;;;;;;;;
Lagartija;Lagartija;Liolaemus pleopholis;Liolaemus pleopholis Laurent, 1998;;Animalia;Chordata;;Reptilia;Squamata;Liolaemidae;Liolaemus;NT;LC;NA;NA;NA;;;;;;;;
Lagartija ;Lagartija ;Liolaemus signifer;Liolaemus signifer (Dumèril & Bibron, 1837);;Animalia;Chordata;;Reptilia;Squamata;Liolaemidae;Liolaemus;LC;NT;NA;NA;NA;;;;;;;;
Lagartija ;Lagartija ;Liolaemus cf.;Liolaemus Wiegmann, 1834;;Animalia;Chordata;;Reptilia;Squamata;Liolaemidae;Liolaemus;LC;NA;NA;NA;NA;;;;;;;;
Lagartija ;Lagartija ;Liolaemus tacnae;Liolaemus tacnae (Shreve, 1941);;Animalia;Chordata;;Reptilia;Squamata;Liolaemidae;Liolaemus;LC;NT;NA;NA;VU;;;;;;;;
Lagartija ;Lagartija ;Liolaemus tacora;Liolaemus tacora Demangel, 2016;;Animalia;Chordata;;Reptilia;Squamata;Liolaemidae;Liolaemus;LC;NA;NA;NA;NA;;;;;;;;
Lagarto Negro;Lagarto Negro;Microlophus quadrivittatus;Microlophus quadrivittatus (Tschudi, 1845);;Animalia;Chordata;;Reptilia;Squamata;Tropiduridae;Microlophus;LC;LC;NA;Endémica;VU;;;;;;;;
Lagartija;Lagartija;Microlophus peruvianus;Microlophus peruvianus (Lesson, 1830);;Animalia;Chordata;;Reptilia;Squamata;Tropiduridae;Microlophus;LC;LC;NA;NA;NA;;;;;;;;
Lagartija;Lagartija;Microlophus tigris;Microlophus tigris (Tschudi, 1845);;Animalia;Chordata;;Reptilia;Squamata;Tropiduridae;Microlophus;LC;LC;NA;NA;NT;;;;;;;;
Tortuga boba, cayuma;Tortuga boba, cayuma;Caretta caretta;Caretta caretta (Linnaeus, 1758);;Animalia;Chordata;;Reptilia;Testudines;Cheloniidae;Caretta;LC;VU;I;NA;EN;;;;;;;;
Tortuga verde, tortuga blanca;Tortuga verde, tortuga blanca;Chelonia mydas;Chelonia mydas (Linnaeus, 1758);;Animalia;Chordata;;Reptilia;Testudines;Cheloniidae;Chelonia;LC;EN;I;NA;EN;;;;;;;;
Tortuga dorso de cuero, tortuga laud;Tortuga dorso de cuero, tortuga laud;Dermochelys coriacea;Dermochelys coriacea (Vandelli, 1761);;Animalia;Chordata;;Reptilia;Testudines;Dermochelyidae;Dermochelys;LC;VU;I;NA;EN;;;;;;;;
Pato Gargantillo;Pato Gargantillo;Anas bahamensis;Anas bahamensis Linnaeus, 1758;;Animalia;Chordata;;Aves;Anseriformes;Anatidae;Anas;LC;LC;NA;NA;LC;;;;;;;;
Pato Barcino;Pato Barcino;Anas flavirostris;Anas flavirostris Vieillot, 1816;;Animalia;Chordata;;Aves;Anseriformes;Anatidae;Anas;LC;LC;NA;NA;LC;;;;;;;;
Pato Jergón;Pato Jergón;Anas georgica;Anas georgica J.F.Gmelin, 1789;;Animalia;Chordata;;Aves;Anseriformes;Anatidae;Anas;LC;LC;NA;NA;LC;;;;;;;;
Pato Crestón;Pato Crestón;Lophonetta specularioides;Lophonetta specularioides (P.P.King, 1828);;Animalia;Chordata;;Aves;Anseriformes;Anatidae;Lophonetta;LC;LC;NA;NA;LC;;;;;;;;
Cauquén Huallata;Cauquén Huallata;Oressochen melanopterus;Oressochen melanopterus (Eyton, 1838);;Animalia;Chordata;;Aves;Anseriformes;Anatidae;Chloephaga;LC;NA;NA;NA;LC;;;;;;;;
Pato Rana;Pato Rana;Oxyura ferruginea;Oxyura ferruginea (Eyton, 1838);;Animalia;Chordata;;Aves;Anseriformes;Anatidae;Oxyura;LC;LC;NA;NA;LC;;;;;;;;
Pato Colorado;Pato Colorado;Spatula cyanoptera;Spatula cyanoptera (Vieillot, 1816);;Animalia;Chordata;;Aves;Anseriformes;Anatidae;Spatula;LC;LC;NA;NA;LC;;;;;;;;
Pato de la Puna;Pato de la Puna;Spatula puna;Spatula puna (Tschudi, 1844);;Animalia;Chordata;;Aves;Anseriformes;Anatidae;Spatula;LC;LC;NA;NA;LC;;;;;;;;
Vencejo Andino;Vencejo Andino;Aeronautes andecolus;Aeronautes andecolus (d'Orbigny & Lafresnaye, 1837);;Animalia;Chordata;;Aves;Apodiformes;Apodidae;Aeronautes;LC;LC;NA;NA;LC;;;;;;;;
Vencejo de Chimenea;Vencejo de Chimenea;Chaetura pelagica;Chaetura pelagica (Linnaeus, 1758);;Animalia;Chordata;;Aves;Apodiformes;Apodidae;Chaetura;LC;VU;NA;NA;VU;;;;;;;;
Oreja-Violeta de Vientre Azul;Oreja-Violeta de Vientre Azul;Colibri coruscans;Colibri coruscans (Gould, 1846);;Animalia;Chordata;;Aves;Apodiformes;Trochilidae;Colibri;LC;LC;II;NA;LC;;;;;;;;
Colibrí Negro;Colibrí Negro;Metallura phoebe;Metallura phoebe (R.Lesson & Delattre, 1839);;Animalia;Chordata;;Aves;Apodiformes;Trochilidae;Metallura;LC;LC;II;NA;LC;;;;;;;;
Estrellita de Collar Púrpura;Estrellita de Collar Púrpura;Myrtis fanny;Myrtis fanny (R.Lesson, 1838);;Animalia;Chordata;;Aves;Apodiformes;Trochilidae;Myrtis;LC;LC;II;NA;LC;;;;;;;;
Estrella Andina;Estrella Andina;Oreotrochilus estella;Oreotrochilus estella (d'Orbigny, 1838);;Animalia;Chordata;;Aves;Apodiformes;Trochilidae;Oreotrochilus;LC;LC;II;NA;LC;;;;;;;;
Colibrí Gigante;Colibrí Gigante;Patagona gigas;Patagona gigas (Vieillot, 1824);;Animalia;Chordata;;Aves;Apodiformes;Trochilidae;Patagona;LC;LC;II;NA;LC;;;;;;;;
Colibrí de Oasis;Colibrí de Oasis;Rhodopis vesper;Rhodopis vesper (R.Lesson, 1829);;Animalia;Chordata;;Aves;Apodiformes;Trochilidae;Rhodopis;LC;LC;II;NA;LC;;;;;;;;
Colibrí de Cora;Colibrí de Cora;Thaumastura cora;Thaumastura cora (R.Lesson & Garnot, 1827);;Animalia;Chordata;;Aves;Apodiformes;Trochilidae;Thaumastura;LC;LC;II;NA;LC;;;;;;;;
Chotacabras Menor;Chotacabras Menor;Chordeiles acutipennis;Chordeiles acutipennis (Hermann, 1783);;Animalia;Chordata;;Aves;Caprimulgiformes;Caprimulgidae;Chordeiles;LC;LC;NA;NA;LC;;;;;;;;
Chotacabras de Ala Bandeada;Chotacabras de Ala Bandeada;Systellura longirostris;Systellura longirostris (Bonaparte, 1825);;Animalia;Chordata;;Aves;Caprimulgiformes;Caprimulgidae;Systellura;LC;LC;NA;NA;LC;;;;;;;;
Alcaraván Huerequeque;Alcaraván Huerequeque;Hesperoburhinus superciliaris;NA;;Animalia;NA;;Aves;Charadriiformes;Burhinidae;Hesperoburhinus;LC;NA;NA;NA;VU;;;;;;;;
Chorlo de la Puna;Chorlo de la Puna;Anarhynchus alticola;Animalia;;Animalia;NA;;Aves;Charadriiformes;Charadriidae;Anarhynchus;LC;NA;NA;NA;LC;;;;;;;;
Chorlo Acollarado;Chorlo Acollarado;Anarhynchus collaris;Animalia;;Animalia;NA;;Aves;Charadriiformes;Charadriidae;Anarhynchus;LC;NA;NA;NA;LC;;;;;;;;
Chorlo Chileno;Chorlo Chileno;Zonibyx modestus;Zonibyx modestus (M.H.K.Lichtenstein, 1823);;Animalia;Chordata;;Aves;Charadriiformes;Charadriidae;Charadrius;LC;NA;NA;NA;LC;;;;;;;;
Chorlo Nevado;Chorlo Nevado;Anarhynchus nivosus;Animalia;;Animalia;NA;;Aves;Charadriiformes;Charadriidae;Anarhynchus;LC;NA;NA;NA;NT;;;;;;;;
Chorlo Semipalmado;Chorlo Semipalmado;Charadrius semipalmatus;Charadrius semipalmatus Bonaparte, 1825;;Animalia;Chordata;;Aves;Charadriiformes;Charadriidae;Charadrius;LC;LC;NA;NA;LC;;;;;;;;
Chorlo Gritón;Chorlo Gritón;Charadrius vociferus;Charadrius vociferus Linnaeus, 1758;;Animalia;Chordata;;Aves;Charadriiformes;Charadriidae;Charadrius;LC;NT;NA;NA;NT;;;;;;;;
Chorlo de Campo;Chorlo de Campo;Oreopholus ruficollis;Oreopholus ruficollis (Wagler, 1829);;Animalia;Chordata;;Aves;Charadriiformes;Charadriidae;Oreopholus;LC;LC;NA;NA;LC;;;;;;;;
Chorlo Cordillerano;Chorlo Cordillerano;Phegornis mitchellii;Phegornis mitchellii (Fraser, 1845);;Animalia;Chordata;;Aves;Charadriiformes;Charadriidae;Phegornis;LC;NT;NA;NA;NT;;;;;;;;
Chorlo Dorado Americano;Chorlo Dorado Americano;Pluvialis dominica;Pluvialis dominica (P.L.S.Müller, 1776);;Animalia;Chordata;;Aves;Charadriiformes;Charadriidae;Pluvialis;LC;LC;NA;NA;LC;;;;;;;;
Chorlo Gris;Chorlo Gris;Pluvialis squatarola;Pluvialis squatarola (Linnaeus, 1758);;Animalia;Chordata;;Aves;Charadriiformes;Charadriidae;Pluvialis;LC;VU;NA;NA;VU;;;;;;;;
Avefría Andina;Avefría Andina;Vanellus resplendens;Vanellus resplendens (Tschudi, 1843);;Animalia;Chordata;;Aves;Charadriiformes;Charadriidae;Vanellus;LC;LC;NA;NA;LC;;;;;;;;
Ostrero Negruzco;Ostrero Negruzco;Haematopus ater;Haematopus ater Vieillot, 1825;;Animalia;Chordata;;Aves;Charadriiformes;Haematopodidae;Haematopus;LC;LC;NA;NA;LC;;;;;;;;
Ostrero Americano;Ostrero Americano;Haematopus palliatus;Haematopus palliatus Temminck, 1820;;Animalia;Chordata;;Aves;Charadriiformes;Haematopodidae;Haematopus;LC;LC;NA;NA;LC;;;;;;;;
Gaviotín Negro;Gaviotín Negro;Chlidonias niger;Chlidonias niger (Linnaeus, 1758);;Animalia;Chordata;;Aves;Charadriiformes;Laridae;Chlidonias;LC;LC;NA;NA;LC;;;;;;;;
Gaviota de Capucha Gris;Gaviota de Capucha Gris;Chroicocephalus cirrocephalus;Chroicocephalus cirrocephalus (Vieillot, 1818);;Animalia;Chordata;;Aves;Charadriiformes;Laridae;Chroicocephalus;LC;NA;NA;NA;LC;;;;;;;;
Gaviota Andina;Gaviota Andina;Chroicocephalus serranus;Chroicocephalus serranus (Tschudi, 1844);;Animalia;Chordata;;Aves;Charadriiformes;Laridae;Chroicocephalus;LC;NA;NA;NA;LC;;;;;;;;
Gaviotín Zarcillo;Gaviotín Zarcillo;Larosterna inca;Larosterna inca (R.Lesson & Garnot, 1827);;Animalia;Chordata;;Aves;Charadriiformes;Laridae;Larosterna;LC;NT;NA;NA;NT;;;;;;;;
Gaviota Peruana;Gaviota Peruana;Larus belcheri;Larus belcheri Vigors, 1829;;Animalia;Chordata;;Aves;Charadriiformes;Laridae;Larus;LC;LC;NA;NA;LC;;;;;;;;
Gaviota Dominicana;Gaviota Dominicana;Larus dominicanus;Larus dominicanus M.H.K.Lichtenstein, 1823;;Animalia;Chordata;;Aves;Charadriiformes;Laridae;Larus;LC;LC;NA;NA;LC;;;;;;;;
Gaviota Reidora;Gaviota Reidora;Leucophaeus atricilla;Leucophaeus atricilla (Linnaeus, 1758);;Animalia;Chordata;;Aves;Charadriiformes;Laridae;Leucophaeus;LC;NA;NA;NA;LC;;;;;;;;
Gaviota Gris;Gaviota Gris;Leucophaeus modestus;Leucophaeus modestus (Tschudi, 1843);;Animalia;Chordata;;Aves;Charadriiformes;Laridae;Leucophaeus;LC;NA;NA;NA;LC;;;;;;;;
Gaviota de Franklin;Gaviota de Franklin;Leucophaeus pipixcan;Leucophaeus pipixcan (Wagler, 1831);;Animalia;Chordata;;Aves;Charadriiformes;Laridae;Leucophaeus;LC;NA;NA;NA;LC;;;;;;;;
Gaviotín Sudamericano;Gaviotín Sudamericano;Sterna hirundinacea;Sterna hirundinacea R.Lesson, 1831;;Animalia;Chordata;;Aves;Charadriiformes;Laridae;Sterna;LC;LC;NA;NA;LC;;;;;;;;
Gaviotín Común;Gaviotín Común;Sterna hirundo;Sterna hirundo Linnaeus, 1758;;Animalia;Chordata;;Aves;Charadriiformes;Laridae;Sterna;LC;LC;NA;NA;LC;;;;;;;;
